URL,Heading,Content
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Economics,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Education and Childhood Studies,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Engineering,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: English and Creative Writing,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Film and Media Studies,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Forensic Science,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Games Design,
https://www.hull.ac.uk/study/undergraduate/,"On-demand subject session: Geography, Earth Science and Environmental Science",
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Health and Social Care,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: History,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Law,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Marketing,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Mathematics,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Midwifery,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Music,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Nursing,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Operating Department Practice,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Paramedic Science,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Philosophy,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Physics and Astrophysics,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Physiotherapy,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Politics,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Professional Policing,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Psychology,
https://www.hull.ac.uk/study/undergraduate/,On-demand subject session: Social Work,
https://www.hull.ac.uk/study/undergraduate/,"On-demand subject session: Sport, Health and Exercise Science",
https://www.hull.ac.uk/study/undergraduate/,All on-demand subject sessions,"Accounting and Finance American Studies Biology, Marine Biology and Zoology Biomedical Science Business Management Chemical Engineering Chemistry Computer Science Creative Industries Criminology Drama Economics Education and Childhood Studies Engineering English and Creative Writing Film and Media Studies Forensic Science Games Design Geography, Earth Science and Environmental Science Health and Social Care History Law Marketing Mathematics Midwifery Music Nursing Operating Department Practice Paramedic Science Philosophy Physics and Astrophysics Physiotherapy Politics Professional Policing Psychology Social Work Sport, Health and Exercise Science"
https://www.hull.ac.uk/study/undergraduate/,Hi there!,Getting in touch with us has never been easier.
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,BSc (Hons) Diagnostic Radiography,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,About this course,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Choose your modules,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Playlist,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Allam Medical Building,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Teaching facilities,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Life on campus,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Entry requirements,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,What do I need?,"When it comes to applying to university, you'll need a certain number of UCAS points. Different qualifications and grades are worth a different amount of points. For this course, you'll need…"
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,What do I need?,If you require a student visa to study or if your first language is not English you will be required to provide acceptable evidence of your English language proficiency level.
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Fees & funding,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,How much is it?,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,How do I pay for it?,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,How much is it?,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,How do I pay for it?,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Our academics,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Sally-Ann Spencer Grey,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Take a look at our facilities,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Health Campus,"Our home for the healthcare professionals of the future. Equipped with a simulated hospital ward, intensive care unit, resuscitation unit, and more."
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Allam Medical Building,"The award winning Allam Medical Building is the centre of our Health Campus, packed with cutting edge features including mock hospital wards and operating theatres."
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Microscopy Suite,You could carry out research in our Microscopy Suite – an imaging facility for investigating the diagnosis of cancer and metabolic and cardiovascular diseases.
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Future prospects,A Diagnostic degree from Hull equips you with highly sought after skills and experience for a career in radiography in the NHS and beyond. And this accelerated course means that you'll be working with patients even sooner.
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Your next steps,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Not ready to apply?,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,You may also be interested in…,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,BSc (Hons) Biochemistry,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,BSc (Hons) Paramedic Science,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,BSc (Hons) / MChem Chemistry,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,BSc (Hons) Adult Nursing,
https://www.hull.ac.uk/study/undergraduate/diagnostic-radiography-bsc-hons.aspx,Hi there!,Getting in touch with us has never been easier.
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,BSc (Hons) Accounting and Financial Management,
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,About this course,
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Choose your modules,
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Preparing for Learning in Higher Education,"This module is designed to give you the best possible start to your university studies, making sure you have all the essential skills you need to succeed. Through lectures and workshops we will teach you how to write in an academic style, how to find quality sources, how to reference work, culminating in writing up a mini-research project."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Introduction to Business,"Develop an understanding of a range of contemporary themes facing managers and the range of ethical dilemmas they pose. You will explore the managerial implications of issues like globalisation, international trade, demographic changes and sustainability developments."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,"Research in the Humanities, Social Sciences and Education","This module will equip you with the necessary skills to conduct and analyse research in a specific interest, supported by academics within your subject. You'll navigate through the research process, from identifying an area of interest to presenting their findings to your peers."
https://www.hull.ac.uk/study/undergraduate/accounting-and-financial-management-bsc-hons.aspx,Group Challenge (Humanities),"Formulate and execute a group led enquiry into texts, cultural artifacts, film, music or dance. You'll explore their topics in groups at supervised workshops and develop questions on the cultural object relates to the living world of human experience, as well as developing your own methods to answer these questions."
